id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,327-2104,BINTANA,327-6453 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6454 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6454 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6455 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6455 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6455 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6585 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-6585 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-7100 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-7100 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-8265 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-8265 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-9200 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
